,circulating_supply,cmc_rank,date_added,id,last_updated,max_supply,name,num_market_pairs,platform,platform.id,platform.name,platform.slug,platform.symbol,quote.USD.last_updated,quote.USD.market_cap,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.price,quote.USD.volume_24h,slug,symbol,tags,total_supply
483,877660690.0,484,2018-12-03T00:00:00.000Z,3623,2018-12-09T00:53:37.000Z,,Online,3,,1027.0,Ethereum,ethereum,ETH,2018-12-09T00:53:37.000Z,2601166.229374186,-1.77487,1.34255,,0.00296374927009,6940.23849098797,online,OIO,[],2500000000.0
484,74795646.2493334,485,2018-02-19T00:00:00.000Z,2535,2018-12-09T00:53:25.000Z,100000000.0,DADI,17,,1027.0,Ethereum,ethereum,ETH,2018-12-09T00:53:25.000Z,2590762.5152511573,-0.42906,5.67376,-24.4925,0.0346378786088,162521.369752325,dadi,DADI,[],100000000.0
485,4687634.1707826,486,2017-11-02T00:00:00.000Z,2139,2018-12-09T00:53:17.000Z,19000000.0,MinexCoin,10,,,,,,2018-12-09T00:53:17.000Z,2587536.91647911,0.0993125,-8.80245,-45.4691,0.551992075791,57998.6214274084,minexcoin,MNX,['mineable'],6093135.0
486,4912116975.35,487,2018-10-19T00:00:00.000Z,3474,2018-12-09T00:53:36.000Z,,YGGDRASH,5,,1027.0,Ethereum,ethereum,ETH,2018-12-09T00:53:36.000Z,2558716.626142295,0.23825,-0.94979,-12.5983,0.000520898960465,429617.979544751,yeed,YEED,[],10000000000.0
487,539096740559.918,488,2014-01-06T00:00:00.000Z,90,2018-12-09T00:54:03.000Z,,Dimecoin,19,,,,,,2018-12-09T00:54:03.000Z,2555443.901761298,0.21986,-6.4665,-8.8869,4.74023252136e-06,1950.25922650182,dimecoin,DIME,['mineable'],539096740559.918
488,767534717.721932,489,2018-05-22T00:00:00.000Z,2757,2018-12-09T00:53:25.000Z,6500000000.0,Callisto Network,8,,,,,,2018-12-09T00:53:25.000Z,2555791.0379269873,0.0817354,1.88408,-37.9175,0.00332987027025,119186.296098259,callisto-network,CLO,['mineable'],847428853.0
489,47861696.5152388,490,2018-01-04T00:00:00.000Z,2340,2018-12-09T00:53:19.000Z,,Bloom,7,,1027.0,Ethereum,ethereum,ETH,2018-12-09T00:53:19.000Z,2551767.437994624,0.238978,-2.27269,-26.1806,0.0533154406088,203630.454669386,bloomtoken,BLT,[],150000000.0
490,4801909.12077652,491,2018-01-10T00:00:00.000Z,2359,2018-12-09T00:53:19.000Z,25000000.0,Polis,5,,,,,,2018-12-09T00:53:19.000Z,2542455.205139696,-0.43355,-1.52737,-23.2696,0.529467580746,9370.24789607329,polis,POLIS,['mineable'],4806934.32077652
491,475341829.298002,492,2018-03-09T00:00:00.000Z,2573,2018-12-09T00:53:23.000Z,,Electrify.Asia,11,,1027.0,Ethereum,ethereum,ETH,2018-12-09T00:53:23.000Z,2538545.929009027,0.179834,-1.89711,-20.3042,0.0053404640041,6704.73156567341,electrifyasia,ELEC,[],749999996.707157
492,21917543.520177,493,2017-09-20T00:00:00.000Z,1976,2018-12-09T00:54:14.000Z,,Blackmoon,12,,1027.0,Ethereum,ethereum,ETH,2018-12-09T00:54:14.000Z,2532372.4412752367,0.123765,-4.65895,-27.7976,0.115540888008,300744.190836071,blackmoon,BMC,[],60000000.0
